City_ID,city,country,latitude,longitude,temperature,pressure,humidity,wind_speed,cloudiness,date
0,Port-aux-Français,FR,-49.3497607,70.2199565,39.6,1009,67,1683953727,100,1683953727
1,Waitangi,NZ,-35.2704653,174.0804593,61.56,1027,81,1683953729,44,1683953729
2,Stanley,FK,-51.6950575,-57.8491693,37.74,1006,65,1683953731,85,1683953731
3,Zhaotong City,CN,27.3417508,103.7146923,62.94,1017,50,1683953733,100,1683953733
4,Port Mathurin,MU,-19.6808372,63.422113,78.91,1020,69,1683953734,21,1683953734
5,Inekar,ML,15.9486791,3.1572826,84.65,1010,40,1683953736,89,1683953736
6,Arquitecto Tomás Romero Pereira,PY,-26.46400835,-55.2758653046726,47.43,1020,85,1683953738,0,1683953738
7,Buala,SB,-8.145546,159.5930366,80.83,1009,83,1683953740,100,1683953740
8,Nova Viçosa,BR,-17.8907712,-39.3725471,72.97,1015,89,1683953741,70,1683953741
9,Koné,FR,-21.0608439,164.8619054,77.79,1016,57,1683953743,100,1683953743
10,Tiksi,RU,71.636604,128.868546,16.59,1009,74,1683953745,22,1683953745
11,Charlestown,US,43.2387,-72.424622,57.25,1014,80,1683953747,0,1683953747
12,Kharkhorin,MN,47.192824,102.8202229,65.59,1002,25,1683953748,69,1683953748
13,Sisimiut,GL,66.9371906,-53.6664816,26.17,1009,77,1683953750,100,1683953750
14,Ushuaia,AR,-54.806115899999995,-68.3184972880496,35.29,1006,64,1683953751,0,1683953751
15,Gumel,NG,9.85,7.983333,74.57,1013,67,1683953753,86,1683953753
16,Haapsalu,EE,58.9399019,23.5414798,50.18,1029,59,1683953754,7,1683953754
17,Barra de Santo Antônio,BR,-9.4038098,-35.5117693,72.61,1014,82,1683953755,69,1683953755
18,Taiohae,FR,-8.899131,-140.15592044103448,75.87,1012,79,1683953757,94,1683953757
19,Puerto Natales,CL,-51.7262003,-72.5059982,38.77,1008,92,1683953758,100,1683953758
20,Sinabang,ID,2.479474,96.3805931,86.95,1011,69,1683953760,99,1683953760
21,Giza,EG,29.9870753,31.2118063,65.16,1019,70,1683953762,0,1683953762
22,Yellowknife,CA,62.4540807,-114.377385,55.58,1016,50,1683953764,75,1683953764
23,Mejit,MH,10.28434145,170.8698842802093,81.72,1009,83,1683953765,64,1683953765
24,Klyuchi,RU,56.318218,160.842178,39.47,1002,71,1683953767,92,1683953767
25,Qaqortoq,GL,60.718202,-46.0385214,31.33,1008,88,1683953769,96,1683953769
26,College,CA,45.32664695,-75.83855656986515,64.71,1017,39,1683953770,75,1683953770
27,Caçador,BR,-26.77567,-51.0120041,42.46,1022,99,1683953772,1,1683953772
28,Pacific Grove,US,36.6211149,-121.917794,53.31,1016,89,1683953774,100,1683953774
29,Grytviken,GS,-54.2806481,-36.5098,30.81,1015,85,1683953775,99,1683953775
30,Sihanoukville,KH,10.6220485,103.5223365,91.31,1010,66,1683953777,40,1683953777
31,Bethel,US,60.7922222,-161.7558333,50.34,1013,43,1683953779,0,1683953779
32,Christchurch,NZ,-43.530955,172.6366455,54.01,1029,81,1683953781,100,1683953781
33,City of Mount Gambier,AU,-37.8246698,140.7820067624113,62.53,1028,45,1683953783,1,1683953783
34,West Island,AU,-12.145866,96.84227540282865,80.65,1013,89,1683953785,100,1683953785
35,Enewetak,MH,11.3408906,162.3245486,82.42,1009,81,1683953787,32,1683953787
36,Vila Franca do Campo,PT,37.7171624,-25.4335352,61.21,1030,91,1683953789,12,1683953789
37,Longyearbyen,NO,78.2231558,15.6463656,32.27,999,80,1683953791,75,1683953791
38,Susuman,RU,62.779732,148.15361,30.15,1003,90,1683953794,100,1683953794
39,Aylmer,CA,45.3950895,-75.8442452,64.74,1017,39,1683953795,75,1683953795
40,Sri Aman,MY,1.2376156,111.462148,84.25,1012,84,1683953797,40,1683953797
41,Nelson Bay,AU,-32.7218138,152.1440889,70.65,1026,72,1683953798,3,1683953798
42,La Passe,FR,46.20351905,-1.4601257909247631,50.14,1020,92,1683953821,34,1683953821
43,Barabai,ID,-2.58553,115.3845228,94.86,1009,47,1683953822,15,1683953822
44,Tokar,SD,18.85178525,37.89893298813189,84.02,1010,78,1683953824,2,1683953824
45,Newman,US,37.3139487,-121.0204222,69.01,1013,48,1683953826,4,1683953826
46,Sussex,US,43.1339001,-88.2220372,57.56,1018,65,1683953828,100,1683953828
47,Nar'yan-Mar,RU,67.6380175,53.0071044,34.27,1015,100,1683953829,100,1683953829
48,Edinburgh of the Seven Seas,SH,-37.0675894,-12.3108303,64.83,1022,94,1683953832,99,1683953832
49,Salalah,OM,17.0174945,54.1010923,84.92,1013,65,1683953834,1,1683953834
50,Adamstown,PN,-25.066667,-130.100205,72.48,1022,64,1683953836,100,1683953836
51,City of Albany,US,42.6511674,-73.754968,62.44,1014,72,1683953759,75,1683953759
52,San Miguel de Cozumel,MX,20.5014305,-86.9435851,80.92,1013,85,1683953839,43,1683953839
53,Blackmans Bay,AU,-43.004684,147.3179857,58.77,1026,61,1683953841,19,1683953841
54,Arroio dos Ratos,BR,-30.0894524,-51.7265541,49.19,1021,85,1683953843,24,1683953843
55,Puerto Aysén,CL,-45.4068167,-72.6976787,51.49,1012,98,1683953846,100,1683953846
56,Pathein,MM,16.783333,94.733333,87.62,1007,66,1683953847,95,1683953847
57,Iqaluit,CA,63.74944,-68.521857,26.55,1016,80,1683953849,100,1683953849
58,Hermanus,ZA,-34.4175,19.2361111,50.85,1031,72,1683953851,51,1683953851
59,Rongelap,MH,11.16290265,166.8943032722801,81.91,1010,79,1683953852,41,1683953852
60,Nadi,FJ,-17.7992725,177.4178549,80.6,1012,83,1683953854,75,1683953854
61,Bilibino,RU,68.0550305,166.4448515,22.01,1009,82,1683953855,100,1683953855
62,St. John's,CA,47.5614705,-52.7126162,34.48,1021,80,1683953857,0,1683953857
63,Anadyr,RU,64.7316875,177.5060925,32.38,1005,80,1683953858,75,1683953858
64,Olonkin City,NO,70.9224474,-8.7159894,34.02,1002,90,1683953860,99,1683953860
65,Jamestown,SH,-15.9277296,-5.7160872,71.13,1018,74,1683953861,100,1683953861
66,Quellón,CL,-43.1200305,-73.6203025,55.89,1013,100,1683953863,100,1683953863
67,Hurukamappu Yuzhno-Kurilsk,RU,44.0270756,145.8613722,51.35,1019,63,1683953864,0,1683953864
68,Santa Elena de Uairén,VE,4.5958694,-61.1110307,67.62,1015,95,1683953866,99,1683953866
69,Jezkazgan,KZ,47.80434,67.7145674,76.98,1010,27,1683953867,40,1683953867
70,Selfoss,IS,63.9368093,-21.0035319,38.16,1011,86,1683953869,72,1683953869
71,Alo,FR,-14.341965949999999,-178.04199171836038,79.2,1010,76,1683953871,34,1683953871
72,Namie,JP,37.4945619,141.0005837,72.63,1019,82,1683953872,100,1683953872
73,Vorga-Shor,RU,67.581192,63.783737,30.69,1010,99,1683953873,98,1683953873
74,North Bend,US,47.4957757,-121.784889,63.3,1022,69,1683953875,41,1683953875
75,Nemuro,JP,43.3301154,145.5829068,49.17,1020,71,1683953877,0,1683953877
76,Ukhta,RU,63.5623797,53.6842376,40.3,1015,96,1683953878,100,1683953878
77,Amboasary,MG,-18.44362,48.262943,64.96,1021,83,1683953880,81,1683953880
78,Kodiak,US,57.79,-152.4072222,44.11,1007,93,1683953881,100,1683953881
